ID;País;Ciudad;Tipo de Turismo;Atracción Principal;Nro de Visitantes Anuales;Gasto Promedio ($);Duracion Promedio (dias);Temporada Alta;Transporte Principal;Clima;Idioma;Moneda;Alojamiento Popular;Actividad Destacada;Seguridad;Requisitos de Visa;Valoracion (1-5);Fecha de Visita;Edad del Viajero;Motivo del Viaje
1977;Australia;Sidney;Gastronómico;Ópera de Sidney;33324532;3723;3;Invierno;Bicicleta;Continental;Inglés;Dólar Australiano;Hoteles;Exploración;Media;No para UE;4;22/02/2021;62;Aventura
1978;Egipto;El Cairo;Histórico;Pirámides de Giza;24538680;3867;5;Primavera;Tren;Templado;Arabe;Libra Egipcia;Cabañas;Anime;Media;No para UE;1;08/09/2020;39;Aventura
1979;Tailandia;Bangkok;Playa;Gran Palacio;46232799;2659;11;Verano;Bicicleta;Templado;Tailandés;Baht;Hoteles;Museos;Media;No para UE;2;07/03/2019;19;Estudio
1980;Tailandia;Bangkok;Playa;Gran Palacio;47275408;4171;6;Primavera;Taxi;Húmedo;Tailandés;Baht;Airbnb;Senderismo;Baja;No;2;12/06/2019;71;Aventura
1981;Australia;Sidney;Aventura;Ópera de Sidney;5707219;1277;3;Otoño;Bicicleta;Continental;Inglés;Dólar Australiano;Airbnb;Anime;Baja;No para UE;4;26/06/2019;57;Luna de Miel
1982;EE.UU.;Nueva York;Urbano;Times Square;23314024;1923;4;Primavera;Bicicleta;Continental;Inglés;Dólar;Ryokan;Religión;Baja;No;2;16/08/2020;39;Negocios
1983;Tailandia;Bangkok;Gastronómico;Gran Palacio;33722945;4442;13;Otoño;Metro;Continental;Tailandés;Baht;Hostales;Surf;Media;No;2;23/11/2021;50;Negocios
1984;Francia;París;Playa;Torre Eiffel;27594643;4274;9;Otoño;Tren;Húmedo;Francés;Euro;Ryokan;Museos;Baja;No para UE;5;03/01/2020;80;Negocios
1985;Japón;Tokio;Cultural;Akihabara;17876848;2534;15;Invierno;Tren;Húmedo;Japonés;Yen;Resort;Gastronomía;Alta;No para UE;5;26/01/2019;59;Aventura
1986;Australia;Sidney;Histórico;Ópera de Sidney;43455621;2175;6;Invierno;Bicicleta;Húmedo;Inglés;Dólar Australiano;Ryokan;Surf;Media;Si;2;16/08/2022;29;Luna de Miel
1987;Egipto;El Cairo;Histórico;Pirámides de Giza;25513097;1481;5;Verano;Tren;Templado;Arabe;Libra Egipcia;Hoteles;Religión;Alta;Si;1;15/08/2021;41;Vacaciones
1988;Japón;Tokio;Religioso;Akihabara;39474307;4675;12;Verano;Avión;Húmedo;Japonés;Yen;Hostales;Compras;Alta;No para UE;4;29/06/2019;59;Luna de Miel
1989;España;Barcelona;Tecnológico;Sagrada Familia;35114251;4556;3;Invierno;Metro;Tropical;Español;Euro;Ryokan;Anime;Media;No;2;19/08/2022;22;Estudio
1990;Francia;París;Religioso;Torre Eiffel;29610928;2468;8;Invierno;Metro;Desértico;Francés;Euro;Airbnb;Exploración;Alta;No para UE;3;07/01/2021;42;Aventura
1991;EE.UU.;Nueva York;Gastronómico;Times Square;44164020;2365;12;Invierno;Bicicleta;Húmedo;Inglés;Dólar;Hoteles;Religión;Alta;No para UE;1;16/03/2023;72;Vacaciones
1992;EE.UU.;Nueva York;Urbano;Times Square;36038121;3743;15;Verano;Taxi;Húmedo;Inglés;Dólar;Ryokan;Exploración;Baja;No;5;30/01/2019;54;Estudio
1993;EE.UU.;Nueva York;Cultural;Times Square;34241563;1509;6;Otoño;Taxi;Tropical;Inglés;Dólar;Hostales;Gastronomía;Baja;Si;5;27/11/2019;43;Negocios
1994;Japón;Tokio;Tecnológico;Akihabara;9161758;4529;8;Otoño;Avión;Templado;Japonés;Yen;Boutique;Museos;Alta;Si;2;30/06/2020;68;Negocios
1995;Brasil;Río de Janeiro;Playa;Copacabana;46600052;3352;10;Verano;Taxi;Templado;Portugués;Real;Resort;Museos;Baja;No para UE;4;09/10/2022;29;Aventura
1996;México;Cancún;Religioso;Playas del Caribe;7293560;3488;12;Todo el año;Avión;Templado;Español;Peso;Airbnb;Surf;Media;No;1;14/05/2021;33;Negocios
1997;Tailandia;Bangkok;Playa;Gran Palacio;17108848;3357;4;Todo el año;Bicicleta;Continental;Tailandés;Baht;Hoteles;Compras;Baja;Si;1;24/03/2019;39;Vacaciones
1998;Brasil;Río de Janeiro;Religioso;Copacabana;8365277;4302;2;Primavera;Bus;Tropical;Portugués;Real;Ryokan;Surf;Alta;Si;1;23/04/2022;79;Aventura
1999;Italia;Roma;Playa;Coliseo;30422740;3003;6;Otoño;Taxi;Desértico;Italiano;Euro;Camping;Exploración;Media;No;5;28/10/2020;65;Vacaciones
2000;EE.UU.;Nueva York;Tecnológico;Times Square;39063170;1251;4;Primavera;Taxi;Desértico;Inglés;Dólar;Ryokan;Surf;Baja;No para UE;5;27/04/2019;62;Aventura
2001;Italia;Roma;Tecnológico;Coliseo;34860733;695;14;Otoño;Bus;Continental;Italiano;Euro;Hostales;Religión;Baja;No;4;04/02/2021;31;Vacaciones
2002;Egipto;El Cairo;Tecnológico;Pirámides de Giza;45133175;3170;14;Primavera;Bicicleta;Húmedo;Arabe;Libra Egipcia;Hoteles;Senderismo;Media;No;4;17/04/2019;46;Aventura
2003;Tailandia;Bangkok;Aventura;Gran Palacio;16714538;4669;5;Invierno;Metro;Húmedo;Tailandés;Baht;Camping;Exploración;Baja;No para UE;3;13/10/2020;54;Estudio
2004;Japón;Tokio;Aventura;Akihabara;9219896;1725;13;Otoño;Metro;Húmedo;Japonés;Yen;Airbnb;Compras;Media;No para UE;2;02/04/2019;60;Vacaciones
2005;Francia;París;Urbano;Torre Eiffel;47614676;2076;11;Otoño;Tren;Tropical;Francés;Euro;Resort;Surf;Baja;No para UE;4;01/09/2021;48;Vacaciones
2006;México;Cancún;Urbano;Playas del Caribe;5244442;672;14;Todo el año;Taxi;Continental;Español;Peso;Cabañas;Exploración;Baja;Si;4;13/10/2021;70;Luna de Miel
2007;Australia;Sidney;Religioso;Ópera de Sidney;21653014;3555;11;Primavera;Metro;Tropical;Inglés;Dólar Australiano;Resort;Anime;Media;No;5;09/07/2022;65;Aventura
2008;México;Cancún;Histórico;Playas del Caribe;13412024;3006;12;Todo el año;Avión;Desértico;Español;Peso;Ryokan;Gastronomía;Alta;No para UE;2;20/12/2022;60;Estudio
2009;México;Cancún;Urbano;Playas del Caribe;18795420;1855;5;Todo el año;Metro;Húmedo;Español;Peso;Airbnb;Anime;Alta;No;5;01/09/2022;28;Vacaciones
2010;España;Barcelona;Urbano;Sagrada Familia;14472005;4179;12;Primavera;Bus;Desértico;Español;Euro;Airbnb;Exploración;Media;No;3;21/04/2019;31;Luna de Miel
2011;Brasil;Río de Janeiro;Urbano;Copacabana;36839691;1183;2;Invierno;Avión;Tropical;Portugués;Real;Ryokan;Compras;Media;No;2;08/08/2019;54;Luna de Miel
2012;Japón;Tokio;Religioso;Akihabara;28351729;3654;13;Todo el año;Ferry;Tropical;Japonés;Yen;Resort;Museos;Baja;No;2;27/06/2023;61;Luna de Miel
2013;Francia;París;Gastronómico;Torre Eiffel;46979166;4208;3;Invierno;Ferry;Desértico;Francés;Euro;Resort;Religión;Baja;No para UE;3;09/01/2019;23;Vacaciones
2014;Japón;Tokio;Aventura;Akihabara;28391446;1749;9;Otoño;Metro;Tropical;Japonés;Yen;Resort;Exploración;Baja;No;1;02/12/2023;60;Estudio
2015;México;Cancún;Aventura;Playas del Caribe;11277762;4615;13;Otoño;Ferry;Tropical;Español;Peso;Ryokan;Surf;Alta;No para UE;2;27/10/2023;66;Aventura
2016;Brasil;Río de Janeiro;Playa;Copacabana;49836507;2074;9;Verano;Bus;Desértico;Portugués;Real;Airbnb;Surf;Alta;Si;5;07/12/2021;55;Luna de Miel
2017;México;Cancún;Histórico;Playas del Caribe;44227338;698;3;Primavera;Taxi;Desértico;Español;Peso;Boutique;Gastronomía;Alta;No;5;17/07/2020;61;Vacaciones
2018;España;Barcelona;Religioso;Sagrada Familia;13603598;3126;14;Todo el año;Ferry;Desértico;Español;Euro;Camping;Museos;Baja;No para UE;1;22/06/2019;44;Negocios
2019;Australia;Sidney;Histórico;Ópera de Sidney;24707422;707;4;Todo el año;Ferry;Desértico;Inglés;Dólar Australiano;Hoteles;Surf;Media;No;2;20/09/2020;62;Aventura
2020;Australia;Sidney;Urbano;Ópera de Sidney;25414019;3104;12;Invierno;Taxi;Templado;Inglés;Dólar Australiano;Ryokan;Anime;Alta;Si;5;18/03/2022;53;Vacaciones
2021;Francia;París;Religioso;Torre Eiffel;24644386;3967;11;Verano;Bicicleta;Húmedo;Francés;Euro;Hostales;Surf;Media;No para UE;2;12/01/2019;50;Vacaciones
2022;Brasil;Río de Janeiro;Tecnológico;Copacabana;39673241;3200;6;Invierno;Taxi;Templado;Portugués;Real;Hoteles;Gastronomía;Media;Si;1;01/09/2019;75;Vacaciones
2023;Italia;Roma;Gastronómico;Coliseo;38079690;3217;13;Otoño;Ferry;Desértico;Italiano;Euro;Hostales;Religión;Baja;No;4;24/06/2022;26;Vacaciones
2024;Italia;Roma;Histórico;Coliseo;10015327;3646;10;Todo el año;Metro;Húmedo;Italiano;Euro;Hostales;Exploración;Baja;Si;3;22/10/2019;29;Estudio
2025;EE.UU.;Nueva York;Cultural;Times Square;32295289;3735;7;Todo el año;Taxi;Tropical;Inglés;Dólar;Resort;Surf;Baja;No;3;30/09/2019;30;Vacaciones
2026;Brasil;Río de Janeiro;Tecnológico;Copacabana;36676265;539;9;Primavera;Bus;Templado;Portugués;Real;Hoteles;Exploración;Baja;Si;3;20/06/2023;27;Negocios
2027;EE.UU.;Nueva York;Gastronómico;Times Square;31174637;1550;8;Todo el año;Tren;Templado;Inglés;Dólar;Hostales;Museos;Alta;Si;3;07/02/2023;70;Negocios
2028;Brasil;Río de Janeiro;Tecnológico;Copacabana;40400734;2364;7;Todo el año;Metro;Desértico;Portugués;Real;Airbnb;Religión;Baja;Si;2;11/04/2023;38;Negocios
2029;Japón;Tokio;Tecnológico;Akihabara;6944830;4715;3;Todo el año;Avión;Desértico;Japonés;Yen;Ryokan;Surf;Baja;No;2;10/02/2024;23;Luna de Miel
2030;Brasil;Río de Janeiro;Aventura;Copacabana;17177239;3323;14;Primavera;Ferry;Húmedo;Portugués;Real;Resort;Gastronomía;Media;No para UE;1;18/10/2023;53;Aventura
2031;Brasil;Río de Janeiro;Tecnológico;Copacabana;43873071;4709;13;Todo el año;Ferry;Tropical;Portugués;Real;Boutique;Gastronomía;Media;No para UE;3;14/07/2020;19;Luna de Miel
2032;Francia;París;Histórico;Torre Eiffel;13958200;3609;9;Primavera;Bus;Tropical;Francés;Euro;Hostales;Anime;Media;Si;3;03/12/2019;56;Luna de Miel
2033;España;Barcelona;Tecnológico;Sagrada Familia;10555065;4173;10;Todo el año;Metro;Tropical;Español;Euro;Hoteles;Gastronomía;Alta;No para UE;3;16/08/2021;35;Aventura
2034;Italia;Roma;Playa;Coliseo;18802717;2649;14;Todo el año;Ferry;Continental;Italiano;Euro;Ryokan;Museos;Media;No para UE;4;19/04/2020;77;Luna de Miel
2035;Italia;Roma;Religioso;Coliseo;45220776;2335;2;Verano;Bicicleta;Húmedo;Italiano;Euro;Hoteles;Museos;Alta;No;4;13/02/2024;43;Luna de Miel
2036;España;Barcelona;Cultural;Sagrada Familia;49426979;3107;3;Verano;Taxi;Tropical;Español;Euro;Hostales;Anime;Baja;No;4;19/12/2021;66;Aventura
2037;Egipto;El Cairo;Aventura;Pirámides de Giza;20168916;3142;7;Primavera;Taxi;Continental;Arabe;Libra Egipcia;Resort;Exploración;Alta;Si;3;28/02/2023;29;Vacaciones
2038;Japón;Tokio;Urbano;Akihabara;28986648;1738;11;Todo el año;Avión;Desértico;Japonés;Yen;Hostales;Gastronomía;Media;No para UE;2;20/10/2021;58;Vacaciones
2039;México;Cancún;Religioso;Playas del Caribe;27272586;4811;5;Otoño;Taxi;Tropical;Español;Peso;Airbnb;Anime;Baja;No para UE;5;13/04/2021;78;Vacaciones
2040;Francia;París;Cultural;Torre Eiffel;43367034;4488;13;Otoño;Ferry;Continental;Francés;Euro;Hoteles;Museos;Alta;No;3;05/06/2022;56;Luna de Miel
2041;EE.UU.;Nueva York;Playa;Times Square;33610778;3222;11;Otoño;Bicicleta;Húmedo;Inglés;Dólar;Ryokan;Religión;Media;No;5;01/04/2019;46;Aventura
2042;México;Cancún;Urbano;Playas del Caribe;25158470;3946;9;Verano;Metro;Húmedo;Español;Peso;Camping;Museos;Baja;No para UE;2;04/12/2021;67;Luna de Miel
2043;Egipto;El Cairo;Tecnológico;Pirámides de Giza;29250874;2277;15;Verano;Bus;Tropical;Arabe;Libra Egipcia;Boutique;Gastronomía;Baja;No para UE;1;13/09/2021;69;Luna de Miel
2044;Japón;Tokio;Playa;Akihabara;11326766;2210;9;Primavera;Avión;Templado;Japonés;Yen;Ryokan;Anime;Media;Si;4;21/02/2020;25;Aventura
2045;Brasil;Río de Janeiro;Cultural;Copacabana;7601735;1908;7;Invierno;Bus;Templado;Portugués;Real;Hoteles;Surf;Alta;No para UE;2;27/10/2021;24;Aventura
2046;Australia;Sidney;Histórico;Ópera de Sidney;42537754;1868;15;Invierno;Bus;Templado;Inglés;Dólar Australiano;Cabañas;Museos;Media;No para UE;4;20/05/2020;33;Negocios
2047;Japón;Tokio;Tecnológico;Akihabara;47068705;4277;9;Todo el año;Taxi;Húmedo;Japonés;Yen;Resort;Compras;Alta;No para UE;2;28/03/2023;51;Aventura
2048;Italia;Roma;Urbano;Coliseo;36984273;4052;4;Otoño;Ferry;Tropical;Italiano;Euro;Hostales;Exploración;Baja;Si;5;10/01/2019;56;Aventura
2049;Australia;Sidney;Gastronómico;Ópera de Sidney;45599794;2181;8;Verano;Taxi;Húmedo;Inglés;Dólar Australiano;Ryokan;Compras;Media;Si;2;27/01/2021;79;Negocios
2050;Italia;Roma;Gastronómico;Coliseo;22882509;3881;5;Primavera;Metro;Desértico;Italiano;Euro;Airbnb;Senderismo;Baja;Si;5;03/01/2020;44;Negocios
2051;España;Barcelona;Histórico;Sagrada Familia;29068290;2388;7;Invierno;Taxi;Desértico;Español;Euro;Hostales;Exploración;Media;No;1;01/05/2020;70;Negocios
2052;Egipto;El Cairo;Histórico;Pirámides de Giza;7277065;726;15;Todo el año;Metro;Tropical;Arabe;Libra Egipcia;Airbnb;Anime;Baja;No;1;22/02/2019;18;Vacaciones
2053;Japón;Tokio;Gastronómico;Akihabara;15128943;4168;5;Primavera;Bicicleta;Húmedo;Japonés;Yen;Ryokan;Gastronomía;Media;Si;5;03/10/2022;52;Aventura
2054;España;Barcelona;Playa;Sagrada Familia;43038852;1658;8;Otoño;Metro;Templado;Español;Euro;Boutique;Exploración;Media;No;1;22/01/2022;30;Vacaciones
2055;EE.UU.;Nueva York;Religioso;Times Square;40834748;3928;5;Otoño;Bicicleta;Desértico;Inglés;Dólar;Airbnb;Museos;Media;No;3;06/11/2021;62;Luna de Miel
2056;Egipto;El Cairo;Urbano;Pirámides de Giza;12628237;4090;13;Primavera;Bicicleta;Tropical;Arabe;Libra Egipcia;Airbnb;Gastronomía;Baja;No para UE;5;25/10/2022;43;Luna de Miel
2057;EE.UU.;Nueva York;Urbano;Times Square;48173838;4518;15;Otoño;Bicicleta;Desértico;Inglés;Dólar;Ryokan;Religión;Baja;No;2;16/11/2022;64;Vacaciones
2058;Japón;Tokio;Histórico;Akihabara;17961770;669;4;Invierno;Bus;Continental;Japonés;Yen;Resort;Exploración;Alta;Si;3;25/06/2019;19;Estudio
2059;Japón;Tokio;Urbano;Akihabara;10644051;4712;12;Invierno;Avión;Húmedo;Japonés;Yen;Resort;Anime;Media;No;2;17/09/2023;74;Vacaciones
2060;EE.UU.;Nueva York;Tecnológico;Times Square;39705046;825;15;Verano;Avión;Húmedo;Inglés;Dólar;Boutique;Compras;Media;Si;3;06/03/2023;53;Negocios
2061;Francia;París;Histórico;Torre Eiffel;31586940;3955;14;Otoño;Taxi;Húmedo;Francés;Euro;Ryokan;Gastronomía;Alta;No para UE;1;19/01/2024;50;Estudio
2062;Tailandia;Bangkok;Urbano;Gran Palacio;31730656;4262;10;Todo el año;Tren;Desértico;Tailandés;Baht;Camping;Surf;Alta;Si;3;25/01/2020;65;Negocios
2063;Italia;Roma;Cultural;Coliseo;41156054;3049;7;Verano;Tren;Húmedo;Italiano;Euro;Hostales;Surf;Media;No;1;20/12/2020;75;Luna de Miel
2064;España;Barcelona;Cultural;Sagrada Familia;19872566;1701;2;Verano;Tren;Continental;Español;Euro;Hoteles;Museos;Alta;Si;4;22/12/2022;77;Aventura
2065;Francia;París;Aventura;Torre Eiffel;42585417;647;10;Todo el año;Avión;Tropical;Francés;Euro;Hostales;Museos;Media;No para UE;2;27/11/2021;28;Vacaciones
2066;México;Cancún;Playa;Playas del Caribe;29072844;1293;2;Todo el año;Avión;Desértico;Español;Peso;Ryokan;Exploración;Media;No para UE;1;17/11/2021;40;Aventura
2067;Francia;París;Aventura;Torre Eiffel;26787587;2894;8;Otoño;Tren;Continental;Francés;Euro;Boutique;Religión;Media;No;4;18/04/2019;42;Luna de Miel
2068;Egipto;El Cairo;Gastronómico;Pirámides de Giza;30594520;3249;7;Verano;Tren;Templado;Arabe;Libra Egipcia;Hostales;Compras;Baja;No para UE;4;09/08/2022;61;Estudio
2069;Egipto;El Cairo;Urbano;Pirámides de Giza;17099470;3764;5;Otoño;Ferry;Tropical;Arabe;Libra Egipcia;Boutique;Surf;Alta;No para UE;1;27/07/2023;30;Estudio
2070;Brasil;Río de Janeiro;Playa;Copacabana;15647183;3709;11;Primavera;Bicicleta;Continental;Portugués;Real;Resort;Senderismo;Alta;No para UE;4;02/02/2019;59;Aventura
2071;México;Cancún;Cultural;Playas del Caribe;44202310;4456;6;Verano;Metro;Húmedo;Español;Peso;Boutique;Gastronomía;Media;No;2;04/01/2020;19;Estudio
2072;España;Barcelona;Gastronómico;Sagrada Familia;28867580;958;11;Verano;Tren;Desértico;Español;Euro;Resort;Gastronomía;Baja;No para UE;1;28/10/2023;40;Negocios
2073;Tailandia;Bangkok;Tecnológico;Gran Palacio;16356855;788;14;Verano;Ferry;Húmedo;Tailandés;Baht;Cabañas;Compras;Baja;No;4;09/06/2020;76;Luna de Miel
2074;Tailandia;Bangkok;Religioso;Gran Palacio;34953488;2567;15;Verano;Bus;Desértico;Tailandés;Baht;Cabañas;Exploración;Alta;No para UE;5;11/12/2022;70;Estudio
2075;Egipto;El Cairo;Religioso;Pirámides de Giza;15105766;4585;3;Otoño;Bicicleta;Tropical;Arabe;Libra Egipcia;Boutique;Surf;Baja;Si;1;08/02/2024;65;Negocios
2076;Italia;Roma;Histórico;Coliseo;32046224;3557;9;Invierno;Ferry;Continental;Italiano;Euro;Airbnb;Compras;Baja;No;1;26/01/2022;49;Estudio
2077;Japón;Tokio;Gastronómico;Akihabara;25896745;4760;15;Verano;Avión;Templado;Japonés;Yen;Cabañas;Anime;Media;No para UE;4;27/01/2023;21;Negocios
2078;Egipto;El Cairo;Cultural;Pirámides de Giza;23148240;880;3;Primavera;Taxi;Tropical;Arabe;Libra Egipcia;Boutique;Religión;Baja;No;1;05/02/2022;45;Vacaciones
2079;Italia;Roma;Gastronómico;Coliseo;10128837;4285;11;Otoño;Avión;Tropical;Italiano;Euro;Airbnb;Senderismo;Baja;No;1;08/10/2023;40;Estudio
2080;Francia;París;Histórico;Torre Eiffel;41933131;3739;11;Todo el año;Metro;Húmedo;Francés;Euro;Hoteles;Exploración;Alta;No para UE;3;15/12/2023;68;Negocios
2081;Tailandia;Bangkok;Histórico;Gran Palacio;11021279;2840;6;Primavera;Bus;Húmedo;Tailandés;Baht;Hostales;Compras;Alta;No para UE;1;01/08/2022;35;Negocios
2082;Brasil;Río de Janeiro;Gastronómico;Copacabana;6933968;3259;14;Todo el año;Bicicleta;Continental;Portugués;Real;Resort;Anime;Media;No para UE;4;09/07/2019;23;Aventura
2083;México;Cancún;Cultural;Playas del Caribe;30989718;4591;11;Todo el año;Ferry;Húmedo;Español;Peso;Cabañas;Anime;Media;No para UE;3;26/01/2021;50;Aventura
2084;Italia;Roma;Religioso;Coliseo;44230368;968;7;Todo el año;Taxi;Templado;Italiano;Euro;Ryokan;Exploración;Media;Si;1;14/03/2020;40;Aventura
2085;Tailandia;Bangkok;Playa;Gran Palacio;10567590;2748;11;Todo el año;Ferry;Húmedo;Tailandés;Baht;Ryokan;Gastronomía;Alta;Si;4;29/10/2022;59;Vacaciones
2086;Japón;Tokio;Urbano;Akihabara;42052441;1700;4;Verano;Ferry;Templado;Japonés;Yen;Boutique;Compras;Alta;No;4;18/04/2023;46;Negocios
2087;México;Cancún;Histórico;Playas del Caribe;22501679;3805;6;Otoño;Metro;Desértico;Español;Peso;Ryokan;Anime;Baja;No para UE;1;25/05/2020;74;Luna de Miel
2088;México;Cancún;Tecnológico;Playas del Caribe;37687015;3502;2;Otoño;Avión;Tropical;Español;Peso;Cabañas;Senderismo;Alta;No;2;22/11/2022;77;Negocios
2089;Tailandia;Bangkok;Gastronómico;Gran Palacio;23184055;2650;2;Invierno;Bicicleta;Tropical;Tailandés;Baht;Ryokan;Surf;Media;No para UE;3;21/12/2020;39;Luna de Miel
2090;España;Barcelona;Gastronómico;Sagrada Familia;9553371;1180;14;Primavera;Tren;Templado;Español;Euro;Resort;Religión;Alta;Si;2;01/05/2022;77;Negocios
2091;Brasil;Río de Janeiro;Playa;Copacabana;43023834;3688;5;Todo el año;Bus;Templado;Portugués;Real;Boutique;Anime;Media;No;2;21/05/2023;31;Vacaciones
2092;Italia;Roma;Gastronómico;Coliseo;11724917;4061;13;Todo el año;Bus;Templado;Italiano;Euro;Resort;Exploración;Alta;No;3;10/05/2022;31;Vacaciones
2093;Tailandia;Bangkok;Gastronómico;Gran Palacio;22681588;1165;15;Todo el año;Taxi;Desértico;Tailandés;Baht;Camping;Exploración;Baja;Si;4;17/04/2023;43;Luna de Miel
2094;México;Cancún;Cultural;Playas del Caribe;34967609;3515;15;Todo el año;Avión;Continental;Español;Peso;Hostales;Compras;Baja;Si;3;02/08/2021;65;Vacaciones
2095;México;Cancún;Aventura;Playas del Caribe;24599367;4284;4;Otoño;Metro;Húmedo;Español;Peso;Airbnb;Anime;Media;No;3;03/09/2021;72;Luna de Miel
2096;Tailandia;Bangkok;Cultural;Gran Palacio;7006180;2933;15;Verano;Bus;Continental;Tailandés;Baht;Hoteles;Anime;Baja;Si;4;12/12/2020;58;Aventura
2097;Tailandia;Bangkok;Playa;Gran Palacio;9462050;3720;15;Otoño;Taxi;Húmedo;Tailandés;Baht;Resort;Surf;Media;Si;1;26/12/2020;41;Luna de Miel
2098;Brasil;Río de Janeiro;Aventura;Copacabana;45101906;1962;7;Todo el año;Ferry;Continental;Portugués;Real;Boutique;Senderismo;Media;Si;4;28/07/2020;66;Estudio
2099;Italia;Roma;Cultural;Coliseo;22560939;4564;5;Todo el año;Avión;Continental;Italiano;Euro;Resort;Museos;Alta;No;4;03/08/2021;65;Luna de Miel
2100;EE.UU.;Nueva York;Aventura;Times Square;14640243;3675;12;Otoño;Bicicleta;Húmedo;Inglés;Dólar;Ryokan;Anime;Alta;No;1;09/05/2019;18;Vacaciones
2101;México;Cancún;Urbano;Playas del Caribe;37258921;4012;15;Verano;Avión;Templado;Español;Peso;Cabañas;Religión;Baja;Si;2;03/02/2022;23;Aventura
2102;EE.UU.;Nueva York;Gastronómico;Times Square;34079765;3296;5;Primavera;Metro;Húmedo;Inglés;Dólar;Ryokan;Anime;Alta;No para UE;5;20/08/2022;41;Luna de Miel
2103;Australia;Sidney;Religioso;Ópera de Sidney;45414573;714;9;Otoño;Ferry;Húmedo;Inglés;Dólar Australiano;Hostales;Surf;Alta;No para UE;1;17/11/2022;37;Estudio
2104;Italia;Roma;Cultural;Coliseo;36032638;4958;14;Todo el año;Tren;Tropical;Italiano;Euro;Hostales;Gastronomía;Baja;No;1;10/11/2023;68;Vacaciones
2105;España;Barcelona;Tecnológico;Sagrada Familia;7005051;1550;9;Todo el año;Tren;Desértico;Español;Euro;Hoteles;Anime;Media;No para UE;4;18/10/2020;73;Estudio
2106;España;Barcelona;Cultural;Sagrada Familia;42658006;1638;15;Primavera;Metro;Continental;Español;Euro;Resort;Museos;Baja;Si;1;10/04/2022;30;Luna de Miel
2107;Egipto;El Cairo;Histórico;Pirámides de Giza;6849732;3812;13;Primavera;Metro;Desértico;Arabe;Libra Egipcia;Airbnb;Gastronomía;Alta;Si;5;24/06/2022;28;Luna de Miel
2108;España;Barcelona;Cultural;Sagrada Familia;23645628;4630;7;Todo el año;Avión;Húmedo;Español;Euro;Cabañas;Museos;Baja;No para UE;1;27/10/2019;53;Negocios
2109;Japón;Tokio;Cultural;Akihabara;40585352;1269;5;Todo el año;Ferry;Tropical;Japonés;Yen;Cabañas;Senderismo;Baja;No;2;21/12/2022;58;Negocios
2110;Brasil;Río de Janeiro;Histórico;Copacabana;10787846;2439;3;Primavera;Bicicleta;Húmedo;Portugués;Real;Airbnb;Religión;Baja;No;1;21/08/2019;75;Estudio
2111;Australia;Sidney;Playa;Ópera de Sidney;13817240;4988;8;Todo el año;Avión;Tropical;Inglés;Dólar Australiano;Hoteles;Religión;Alta;Si;3;17/10/2023;32;Estudio
2112;España;Barcelona;Religioso;Sagrada Familia;8857579;4122;11;Verano;Taxi;Desértico;Español;Euro;Boutique;Surf;Alta;Si;2;16/05/2019;57;Aventura
2113;España;Barcelona;Urbano;Sagrada Familia;29083144;916;13;Todo el año;Taxi;Húmedo;Español;Euro;Hoteles;Senderismo;Baja;No;3;04/01/2020;53;Estudio
2114;EE.UU.;Nueva York;Playa;Times Square;49778050;1326;4;Primavera;Avión;Desértico;Inglés;Dólar;Ryokan;Museos;Alta;No para UE;2;14/03/2023;28;Negocios
2115;Francia;París;Playa;Torre Eiffel;8475946;554;7;Verano;Tren;Continental;Francés;Euro;Resort;Religión;Baja;No;1;29/04/2022;57;Negocios
2116;Egipto;El Cairo;Tecnológico;Pirámides de Giza;35123002;3180;6;Otoño;Ferry;Templado;Arabe;Libra Egipcia;Camping;Senderismo;Alta;No para UE;5;02/02/2023;37;Negocios
2117;México;Cancún;Gastronómico;Playas del Caribe;19540086;4945;2;Invierno;Metro;Desértico;Español;Peso;Resort;Museos;Alta;No;5;10/11/2019;52;Luna de Miel
2118;Japón;Tokio;Religioso;Akihabara;43146061;3866;5;Primavera;Ferry;Húmedo;Japonés;Yen;Boutique;Surf;Media;No para UE;1;14/09/2021;62;Vacaciones
2119;Japón;Tokio;Gastronómico;Akihabara;42494556;2397;9;Otoño;Ferry;Continental;Japonés;Yen;Boutique;Gastronomía;Alta;Si;4;13/11/2019;19;Estudio
2120;Australia;Sidney;Religioso;Ópera de Sidney;30118672;816;11;Otoño;Avión;Tropical;Inglés;Dólar Australiano;Airbnb;Museos;Media;Si;1;29/06/2020;47;Estudio
2121;Egipto;El Cairo;Histórico;Pirámides de Giza;7733290;4426;10;Verano;Metro;Desértico;Arabe;Libra Egipcia;Camping;Gastronomía;Media;Si;2;16/07/2022;58;Vacaciones
2122;Egipto;El Cairo;Playa;Pirámides de Giza;32952137;4533;15;Todo el año;Tren;Tropical;Arabe;Libra Egipcia;Ryokan;Senderismo;Alta;Si;4;21/05/2023;53;Estudio
2123;Francia;París;Playa;Torre Eiffel;14548873;4010;5;Verano;Bicicleta;Continental;Francés;Euro;Hostales;Compras;Baja;Si;2;10/11/2023;32;Aventura
2124;EE.UU.;Nueva York;Urbano;Times Square;23207409;3561;12;Todo el año;Avión;Tropical;Inglés;Dólar;Airbnb;Compras;Baja;No;3;02/06/2019;40;Vacaciones
